uv 01.1, elapsed_sec: 0.03s, result: 1015476
uv 01.2, elapsed_sec: 0.02s, result: 200878544
uv 02.01, elapsed_sec: 0.02s, result: 640
uv 02.02, elapsed_sec: 0.02s, result: 472
uv 03.01, elapsed_sec: 0.01s, result: 250
uv 03.02, elapsed_sec: 0.01s, result: 1592662500
uv 04.01, elapsed_sec: 0.01s, result: 228
uv 04.02, elapsed_sec: 0.02s, result: 175
uv 05.01, elapsed_sec: 0.01s, result: 866
uv 05.02, elapsed_sec: 0.01s, result: 583
uv 06.01, elapsed_sec: 0.01s, result: 6335
uv 06.02, elapsed_sec: 0.02s, result: 3392
uv 07.01, elapsed_sec: 0.03s, result: 259
uv 07.02, elapsed_sec: 0.03s, result: 45018
uv 08.01, elapsed_sec: 0.02s, result: 1949
uv 08.02, elapsed_sec: 0.04s, result: 2092
uv 09.01, elapsed_sec: 0.02s, result: 756008079
uv 09.02, elapsed_sec: 0.01s, result: 93727241
uv 10.01, elapsed_sec: 0.01s, result: 2380
uv 10.02, elapsed_sec: 0.02s, result: 48358655787008
uv 11.01, elapsed_sec: 0.39s, result: 2483
uv 11.02, elapsed_sec: 0.91s, result: 2285
uv 12.01, elapsed_sec: 0.02s, result: 759
uv 12.02, elapsed_sec: 0.02s, result: 45763
uv 13.01, elapsed_sec: 0.01s, result: 222
uv 13.02, elapsed_sec: 0.02s, result: 408270049879073
uv 14.01, elapsed_sec: 0.02s, result: 14925946402938
uv 14.02, elapsed_sec: 0.10s, result: 3706820676200
uv 15.01, elapsed_sec: 0.01s, result: 1294
uv 15.02, elapsed_sec: 3.33s, result: 573522
uv 16.01, elapsed_sec: 0.03s, result: 21081
uv 16.02, elapsed_sec: 0.09s, result: 314360510573
uv 17.01, elapsed_sec: 0.03s, result: 324
uv 17.02, elapsed_sec: 0.28s, result: 1836
uv 18.01, elapsed_sec: 0.03s, result: 3647606140187
uv 18.02, elapsed_sec: 0.04s, result: 323802071857594
uv 19.01, elapsed_sec: 0.03s, result: 208
uv 19.02, elapsed_sec: 0.16s, result: 316
uv 20.01, elapsed_sec: 2.75s, result: 29584525501199
uv 20.02, elapsed_sec: 0.36s, result: 1665
uv 21.01, elapsed_sec: 0.03s, result: 2485
uv 21.02, elapsed_sec: 0.03s, result: bqkndvb,zmb,bmrmhm,snhrpv,vflms,bqtvr,qzkjrtl,rkkrx
uv 22.01, elapsed_sec: 0.01s, result: 32179
uv 22.02, elapsed_sec: 4.20s, result: 30498
uv 23.01, elapsed_sec: 0.02s, result: 36542897
uv 23.02, elapsed_sec: 15.01s, result: 562136730660
uv 24.01, elapsed_sec: 0.01s, result: 512
uv 24.02, elapsed_sec: 0.26s, result: 4120
uv 25.01, elapsed_sec: 0.53s, result: 354320
Above 1s: 4
