cargo d01_1, elapsed_sec: 0.00s, result: 1655
cargo d01_2, elapsed_sec: 0.00s, result: 1683
cargo d02_1, elapsed_sec: 0.00s, result: 1580000
cargo d02_2, elapsed_sec: 0.00s, result: 1251263225
cargo d03_1, elapsed_sec: 0.00s, result: 1458194
cargo d03_2, elapsed_sec: 0.00s, result: 1100010101 * 111000000010 = 2829354
cargo d04_1, elapsed_sec: 0.00s, result: 41503
cargo d04_2, elapsed_sec: 0.00s, result: 3178
cargo d05_1, elapsed_sec: 0.00s, result: 6841
cargo d05_2, elapsed_sec: 0.00s, result: 19258
cargo d06_1, elapsed_sec: 0.00s, result: 380612
cargo d06_2, elapsed_sec: 0.00s, result: 1710166656900
cargo d07_1, elapsed_sec: 0.00s, result: 349357
cargo d07_2, elapsed_sec: 0.00s, result: 96708205
cargo d08_1, elapsed_sec: 0.00s, result: 355
cargo d08_2, elapsed_sec: 0.01s, result: 983030
cargo d09_1, elapsed_sec: 0.00s, result: 554
cargo d09_2, elapsed_sec: 0.00s, result: 1017792
cargo d10_1, elapsed_sec: 0.00s, result: 323613
cargo d10_2, elapsed_sec: 0.00s, result: 3103006161
cargo d11_1, elapsed_sec: 0.00s, result: 1562
cargo d11_2, elapsed_sec: 0.00s, result: 268
cargo d12_1, elapsed_sec: 0.00s, result: 4792
cargo d12_2, elapsed_sec: 0.00s, result: 133360
cargo d13_1, elapsed_sec: 0.00s, result: 743
cargo d13_2, elapsed_sec: 0.00s, result: 94
cargo d14_1, elapsed_sec: 0.00s, result: 2899
cargo d14_2, elapsed_sec: 0.00s, result: 3528317079545
cargo d15_1, elapsed_sec: 0.00s, result: 373
cargo d15_2, elapsed_sec: 0.01s, result: 2869
cargo d16_1, elapsed_sec: 0.00s, result: 963
cargo d16_2, elapsed_sec: 0.00s, result: 1549026292886
cargo d17_1, elapsed_sec: 0.00s, result: 25200
cargo d17_2, elapsed_sec: 0.00s, result: 3012
cargo d18_1, elapsed_sec: 0.00s, result: 3524
cargo d18_2, elapsed_sec: 0.02s, result: 4656
Above 1s: 0
